m_id,p_id
378,830
476,386
394,475
388,791
544,359
655,14
441,705
649,250
671,484
383,463
329,122
343,306
461,842
557,397
673,998
524,307
555,892
429,682
260,382
350,269
731,503
590,62
543,752
696,757
446,481
494,190
383,327
469,460
466,399
674,246
412,574
595,434
493,31
577,570
518,228
695,678
383,813
549,965
261,268
609,571
377,160
370,738
424,398
466,946
515,604
490,577
571,613
490,245
368,777
390,886
307,584
433,927
503,763
367,890
455,519
562,654
364,776
425,745
564,442
611,995
455,356
503,728
635,616
441,707
555,93
467,443
512,274
458,681
521,450
391,171
479,511
567,212
465,852
465,535
672,603
564,391
500,936
469,922
507,650
674,392
405,132
616,96
484,861
436,874
353,120
495,946
443,388
462,27
410,696
324,703
438,254
528,41
382,318
513,750
632,388
469,696
505,928
501,800
523,484
539,199
544,616
385,982
466,80
497,552
336,741
679,986
658,80
534,945
569,901
564,783
623,200
608,750
406,550
532,526
591,454
645,978
579,368
515,31
595,729
522,927
483,729
469,483
393,846
559,947
667,647
522,712
356,45
514,334
582,741
621,779
479,314
488,394
460,261
332,648
460,46
601,699
560,13
411,153
478,670
401,146
319,360
616,476
462,617
458,712
503,889
498,642
652,964
51,217
951,655
70,817
350,217
576,393
929,81
663,332
770,899
271,659
22,509
417,119
764,235
940,235
390,496
173,75
189,676
161,197
658,379
120,53
578,53
815,468
440,997
794,541
57,583
19,33
160,1000
644,863
824,863
508,81
357,956
769,196
266,583
366,932
307,178
91,267
803,667
305,834
181,563
743,267
823,1000
400,834
241,403
285,348
13,119
487,826
2,403
246,792
128,348
344,687
906,708
909,834
745,1000
428,663
637,468
747,863
222,676
777,33
164,53
453,1000
787,275
186,956
750,925
545,834
182,938
977,81
18,81
27,297
563,509
143,925
496,559
58,919
228,956
667,583
668,662
850,687
481,956
645,473
438,217
382,348
258,33
853,215
483,938
799,997
276,178
646,178
379,235
320,817
942,559
115,509
108,792
59,956
589,235
127,964
682,628
567,509
44,473
676,932
778,216
507,997
214,925
847,563
419,690
664,496
551,496
532,700
945,655
948,708
95,655
259,997
519,700
172,75
409,792
30,632
521,393
3,559
936,956
249,473
639,53
296,583
209,964
74,559
34,847
418,216
978,332
972,663
761,576
407,235
904,1000
387,379
39,541
690,925
393,834
524,217
312,267
498,216
862,628
494,676
469,899
683,708
793,217
608,559
126,393
194,393
360,559
463,663
476,583
883,215
629,65
726,899
374,33
224,217
719,847
756,690
318,663
647,938
593,65
479,473
154,53
234,997
899,332
935,297
675,919
696,663
264,919
270,65
898,796
435,81
384,332
351,687
826,197
911,267
491,817
462,622
855,847
436,708
626,53
263,622
836,112
784,655
780,667
768,393
838,834
478,583
149,708
280,667
461,559
717,632
525,65
226,332
210,932
843,215
710,844
204,938
5,267
796,659
531,403
283,708
624,826
686,217
681,687
361,834
974,473
829,834
785,792
444,539
537,632
233,267
93,197
373,112
343,53
31,834
723,112
497,473
884,196
155,393
953,628
609,541
416,925
195,509
369,834
441,956
740,559
892,496
230,817
503,956
78,667
573,275
994,267
987,496
852,676
611,539
621,690
865,844
178,662
809,275
585,541
8,817
934,715
708,65
455,297
370,663
684,196
713,662
448,863
930,938
132,1000
322,473
389,509
863,348
518,509
693,393
98,178
744,178
715,687
527,662
235,379
627,178
119,403
306,216
376,676
147,687
860,217
480,379
412,539
26,667
564,496
72,119
77,583
725,539
310,379
832,473
907,119
746,473
806,297
353,196
939,690
831,75
225,956
45,628
891,75
134,667
918,196
975,297
36,235
848,1000
430,348
158,583
533,275
207,583
881,632
492,964
544,667
365,796
704,468
157,817
618,700
140,834
208,33
392,563
49,119
671,112
580,379
912,847
846,834
938,235
184,938
477,348
272,473
781,919
554,956
670,215
919,235
156,899
932,563
475,563
888,938
282,628
733,216
261,715
502,81
117,473
257,834
40,690
700,622
349,215
187,1000
914,847
506,267
599,539
677,687
29,792
4,563
698,197
96,938
466,541
201,690
844,796
980,863
107,576
6,33
446,332
749,348
86,563
920,332
219,403
363,796
66,628
523,275
414,267
640,796
368,708
735,468
538,863
595,964
924,215
872,899
410,393
896,119
381,197
38,75
359,119
597,468
193,925
730,275
548,275
727,119
985,628
810,662
779,576
931,403
145,687
557,297
623,75
559,834
788,509
304,700
633,215
341,834
450,899
405,826
170,235
996,925
712,197
192,690
101,297
69,178
679,81
375,715
415,817
976,659
689,622
982,348
522,576
674,539
11,81
821,687
401,332
739,473
9,33
903,197
741,676
736,690
565,559
566,576
457,563
85,178
592,826
281,663
302,622
927,119
774,622
398,826
635,919
165,662
151,847
620,715
894,997
245,539
205,792
895,932
783,997
334,690
168,919
598,662
287,932
464,964
167,576
277,196
290,119
300,700
662,348
284,956
342,847
367,112
439,53
586,899
572,817
32,847
336,826
275,559
247,235
260,217
136,197
139,932
411,622
869,796
864,817
425,687
672,667
731,659
256,847
654,925
332,847
33,112
885,700
422,1000
549,468
653,662
380,622
215,559
130,826
23,112
612,197
617,659
959,215
819,676
314,112
817,792
386,275
433,275
364,81
299,563
605,197
345,676
92,468
971,863
437,997
236,348
957,196
135,119
999,379
493,496
665,628
454,817
759,628
227,119
500,81
311,583
73,473
103,468
875,33
420,932
755,956
15,112
859,332
842,196
61,403
602,708
721,393
251,667
705,964
104,576
171,690
397,964
604,956
786,899
347,196
179,267
562,663
321,662
402,196
804,275
445,632
889,687
991,332
776,655
467,676
253,496
692,690
581,997
14,348
724,667
372,403
772,792
591,403
808,1000
383,663
301,393
7,834
757,541
827,662
254,932
986,708
857,919
619,938
890,956
20,997
319,275
1,1000
76,541
517,403
129,997
203,196
789,559
267,792
773,715
146,33
80,217
861,379
162,847
738,687
797,509
582,708
943,667
262,700
348,956
504,33
399,297
238,81
112,817
560,899
547,559
818,708
613,817
268,119
737,379
124,632
615,659
452,632
200,216
988,1000
964,196
590,509
82,899
610,687
79,1000
678,216
812,539
579,792
510,667
198,662
17,655
212,119
997,632
917,919
489,53
616,997
83,379
63,796
516,863
542,834
216,403
882,796
694,964
955,792
274,925
801,473
163,997
362,563
221,178
752,659
594,235
460,792
499,834
265,473
111,690
851,628
62,119
993,348
326,899
805,178
655,348
649,899
183,33
100,119
925,178
150,938
656,844
421,275
429,75
122,700
648,676
570,197
923,708
434,539
530,863
928,1000
536,676
449,197
520,576
55,796
148,662
790,583
32,921
24,921
22,921
18,921
42,921
65,921
99,921
120,921
267,921
295,921
789,921
890,921
963,921
678,921
782,921
345,921
